Bedriftsnavn;Adresse;Postnummer;Poststed;Godkjenninger;Organisasjonsnummer
SALTDAL DEKK OG BILSERVICE AS;KIRKEGATA 36;8250;ROGNAN;HJUL;997400542
Toyota Sulland Kongsvinger AS;Industrivegen 39;2202;Kongsvinger;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";929035445
VBK Nordic as.;Nedrevei 8;3191;Horten;PABYGGER;979340206
Martin Lyng Karosseri;Hestehaugveien;1788;HALDEN;BILSKADE;982069009
STORBILSERVICE AS;Sørestrandvegen 39;6220;Sykkylven;"FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04";980059227
H. Hatlestad auto og bildemontering;Osvegen 256;5229;KALANDSEIDET;BILVERKSTED01;992443405
BILSENTERET ROLVSØY AS;ROLVSØYVEIEN 404;1666;ROLVSØY;"HJUL, EKSOSANLEGG";895397652
Trucknor Sogn og Fjordane AS avd. Sandane;Åsavegen 159;6823;SANDANE;"FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04";888545972
RÅDE LAST OG HYDRAULIKK AS;ÅKEBERGMOSEN 19;1640;RÅDE;"BILVERKSTEDALLE, KONTROLLORGAN04, PABYGGER";917466637
AGDER BILGLASS AS;RIGEDALEN 36;4626;KRISTIANSAND S;BILGLASS;997002881
Åsane Bilskadesenter AS;Litleåsvegen 65;5132;NYBORG;BILSKADE;983923852
NYE DEKKHIMMEL AS;JOHAN BERENTSENS VEI 41;5160;LAKSEVÅG;HJUL;817419372
Krabyskogen Storbilsenter AS ;Industrivegen 15;2850;LENA;"BILVERKSTEDALLE, KONTROLLORGAN04";982771250
Snap Drive AS avd. Hvam;Jogstadveien 27;2007;KJELLER;"BILVERKSTED01, KONTROLLORGAN01";971585188
Kirkenes Bil AS;Arbeidergata 2;9900;KIRKENES;"BILVERKSTED01B, KONTROLLORGAN01B";967066699
V-Twin AS;Storgt. 117;3182;Horten;MOTORSYKKELOGMOPED;987747307
Driven By JL AS;Storgata 79;9405;HARSTAD;HJUL;918780874
DOKKA BILPLEIE AS;STORGATA 105;2870;DOKKA;BILVERKSTED01;981129296
C B P as;Alexander Kiellandsgate 43;3717;SKIEN;MOTORSYKKELOGMOPED;976779975
DIN FIRMABIL AS;BEKKEVEIEN 11;3236;SANDEFJORD;BILVERKSTED01;917941769
FRAMNES TRADING AS;Doneheia 167;4516;MANDAL;HENGERESPALOPSBREMSEANLEGG;991246924
VANSE DEKKSERVICE V/ ANDREAS KOLNES;DYNGVOLLVEIEN 194;4560;VANSE;HJUL;984553889
Bagn Bilservice AS;Erstadvegen 44;2930;BAGN;"BILVERKSTED01, KONTROLLORGAN01";913502191
FUGLESANGDAHL AS;JÆKTSMEDGATA 1;7725;STEINKJER;HENGERESPALOPSBREMSEANLEGG;991836330
RUST CHECK NORGE V/MAGNUS SOLI;Ørjeveien 252;1850;MYSEN;BILVERKSTED01B;948749130
Eggedal Servicenter AS;Nedre Eggedal;3358;NEDRE EGGEDAL;"BILVERKSTED01B, KONTROLLORGAN01B";979705514
RABEKK BIL USA FORD PARTS AS;Krappfossveien 4;1597;MOSS;"BILVERKSTED01B, KONTROLLORGAN01B";981435672
KVITESEID GLASSERVICE AS;MIDTSUNDVEGEN 13A;3850;KVITESEID;BILGLASS;915535135
"RøhneSelmer AS, avdeling Stanseveien IVECO";Stanseveien 12;0975;OSLO;"FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04";933823970
DEKKSENTRALEN AS;TROMSØYSUNDVEGEN 22;9020;TROMSDALEN;"HJUL, HENGERESPALOPSBREMSEANLEGG";986700773
BERGHEIM AUTOSERVICE AS;SPIKARMOEN 22;2900;FAGERNES;"BILVERKSTED01B, KONTROLLORGAN01B, TRAKTOR";997831381
Ferda Ålesund;Lerstadvegen 304;6014;Ålesund;"BILVERKSTED01B, KONTROLLORGAN01B";971193891
SULLAND MOSS BMW;Varnaveien 30;1526;MOSS;"KONTROLLORGAN01, BILVERKSTED01";945727772
TUNGBILSERVICE AS;HEIANE INDUSTRIOMRÅDE;5640;EIKELANDSOSEN;HJUL;994545094
DEKK1 AS Drotningsvik;Janaflaten 7;5179;GODVIK;"HENGERESPALOPSBREMSEANLEGG, HJUL, BILGLASS";979579292
TRAMA HARSTAD AS;RUGGEVIKVEIEN 13;9415;HARSTAD;"TRAKTOR, MOTORSYKKELOGMOPED";983174035
BISLETT BILPLEIE & DEKKSERVICE AS;PILESTREDET 75C;0354;OSLO;HJUL;993563226
Yamaha Bergen AS;Nordre Brurås 10;5131;NYBORG;MOTORSYKKELOGMOPED;913317254
MIDT-NORGE BIL SNÅSA AS;Snåsa;7760;Snåsa;"BILVERKSTED01, KONTROLLORGAN01, MOTORSYKKELOGMOPED";957722644
Bertel O. Steen Molde;Gammelseterlia 4;6422;Molde;"FARTSSKRIVER, KONTROLLORGAN04, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN01";927190788
Sigma Motor AS;Hemmingstadveien 17;5535;Haugesund;MOTORSYKKELOGMOPED;984032498
Oppland Tungbilservice AS;Spikarmoen ;2900;FAGERNES;"FARTSSKRIVER, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN02, KONTROLLORGAN03";982787602
Centrum Bilverksted AS;Heddalsvegen 11;3674;Notodden;BILVERKSTED01;989483145
ENOKSEN TRAKTORSERVICE AS;AA;8485;DVERBERG;HJUL;946821144
Møller Bil Egersund ;Fossveien 4;4370;EGERSUND;"BILVERKSTED01B, KONTROLLORGAN01B";933625583
Agder Bilskade A/S;Rigedalen 8;4626;Krs.sand;BILSKADE;932865823
Ihle Bilverksted AS;Ihlevegen 309;2846;BØVERBRU;"BILVERKSTED01, KONTROLLORGAN01";985964491
Haug Karrosseri;Solbråveien 2;1383;Asker;BILSKADE;986336923
Polarsirkelen videregående skole;Murbakken 1;8622;MO I RANA;"BILVERKSTED01, KONTROLLORGAN01";974621304
Felleskjøpet Agri SA avd. Namsos;Verftsgata 44;7800;NAMSOS;TRAKTOR;911608103
MOBILE ELVERUM AS;SVARTBEKKVEGEN 75;2406;ELVERUM;"BILVERKSTED01, KONTROLLORGAN01";819496072
Klokkergårdveien Bilservice AS;Klokkegårdveien 6;1711;SARPSBORG;"BILVERKSTED01, KONTROLLORGAN01";914187540
DEKKSPESIALISTEN SANDEFJORD AS;NYGÅRDSVEIEN 80;3221;SANDEFJORD;HJUL;914723671
HAUGANS BIL AS;Gvarvvegen 323;3800;Bø;BILVERKSTED01;965872604
Moss To-Takt Skadesenter;Årvollskogen 91;1529;MOSS;BILSKADE;984039638
BÅTSFJORD BILSENTER AS;VALEN 3;9990;BÅTSFJORD;HJUL;989107674
Harestua  Auto AS;Kvernhusvegen 13;2743;HARESTUA;"BILVERKSTED01, KONTROLLORGAN01";876359022
Kingsrød Lastebil Senter AS;Statsminister Torpsvei 57;1738;BORGENHAUGEN;"BILVERKSTEDALLE, KONTROLLORGAN04, FARTSSKRIVER";927811774
B. Johansen Bilservice;Sjyveien 1;9372;Gibostad;BILVERKSTED01;980155498
BILVERKSTED SENTRUM AS;CHRISTIAN KROHGS GATE 1;0186;OSLO;"BILVERKSTED01, KONTROLLORGAN01";913432290
VEGGLI AUTO AS;Numedalsvegen 5933;3628;VEGGLI;"LYSUTSTYR, HJUL";984618964
ULSTEIN BIL A/S;Holsekervegen 87;6065;ULSTEINVIK;"BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01, BILSKADE";943815593
Varanger Auto AS;Tanaveien 8;9800;VADSØ;"BILVERKSTED01, KONTROLLORGAN01";965445439
NORD TROMS GLASS AS;HAVNEGATA 27;9180;SKJERVØY;BILGLASS;980090612
SENSO AUTO A/S;Åheim;6146;Åheim;"BILVERKSTED01, KONTROLLORGAN01, HJUL";980348768
Stord Bilteknikk AS;Meatjønnvegen 32;5412;STORD;"BILVERKSTED01, KONTROLLORGAN01B";993636746
Storøs Auto AS;Salomonsvei 21;8530;Bjerkvik;"BILVERKSTED01, KONTROLLORGAN01";946093726
RONGJA BIL OG MC DA;C/O ODDBJØRN SKREDDERHAUG;6391;TRESFJORD;HJUL;996222713
KORSEN AUTOSERVICE STEIN ATLE KNUTSEN;ORKDALSVEIEN 3;7391;RENNEBU;HJUL;914876443
Moss Biloppretting Morten Olesen;Rabekkgaten 17;1523;Moss;BILSKADE;969948117
Holt Auto AS;Holt;9334;Øverbygd;"BILVERKSTED01, KONTROLLORGAN01";974534401
EEMAN BILSERVICE AS;ØKERNVEIEN 147;0580;OSLO;HJUL;920395627
Drangedal Bilruter AS avd. verksted;Rallarvegen 4;3750;DRANGEDAL;"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04, TRAKTOR";994057383
LIENS BILSKADE ;Nordset Industriområde;7540;KLÆBU;BILSKADE;860120372
"MHWirh Workshop, Lyngdal";Stamsøyveien 6;4580;LYNGDAL;PABYGGER;942524544
LASSE HANSEN;Nils Uhlin Hansensv. 70;7026;TRONDHEIM;HJUL;882259412
E18 VAREBILSENTER AS;Elgtrekket 2;1820;SPYDEBERG;"BILVERKSTED01B, PABYGGER, KONTROLLORGAN01B, FARTSSKRIVER";915079385
AB Motor AS;Strandveien 2A;7224;MELHUS;MOTORSYKKELOGMOPED;989826328
"Handicare ASA, Levanger";Alstadhaugvegen 433;7608;LEVANGER;BILVERKSTED01;965395830
Nordic Last & Buss AS avd. Bodø;Munnarvollvn.3;8001;BODØ;"FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04";979463332
Kverneland Bil AS avd. Mariero;Langflåtveien 35;4017;STAVANGER;"BILVERKSTED01, KONTROLLORGAN01";977047684
LAKSELV AUTO AS;;9700;LAKSELV;HJUL;990747008
ARCTIC TOURS AS;STORENGVEIEN 17;9515;ALTA;BILGLASS;986600884
DEKKPROFF AS avd. Moss;Patterødveien 2;1599;MOSS;HJUL;916725558
CARGLASS AS AVD TRONDHEIM NORD;Falkenborgvegen 35;7044;TRONDHEIM;BILGLASS;985758220
Jensen Auto Service;Lundliveien 11;0584;OSLO;"BILVERKSTED01, KONTROLLORGAN01";958691548
Furnes Bil & Karosseriverksted;Krogstadveien 63;2320;Furnes;"BILVERKSTED01B, PABYGGER";973198556
ERLING RØD A/S;Sagveien 7;1814;ASKIM;"BILVERKSTED01B, KONTROLLORGAN01";952097911
"RIIS MONTASJE AS, avd. Verdal";Venusvegen 1;7652;VERDAL;BILGLASS;921979436
"Funnemark AS, avd. Notodden";Tuvenbøygen 1;3676;Notodden;"BILVERKSTED01B, KONTROLLORGAN01B, BILSKADE";911876493
K PAULSEN & SØNNER AS;INDUSTRIVEIEN 21;8300;SVOLVÆR;HJUL;974531925
Autobuss AS;Pancoveien 30;1624;GRESSVIK;"PABYGGER, FARTSSKRIVER";912788652
AUTOSERVICE ARVESEN OG SYVERSEN  AS;Industriveien 1;1614;Fredrikstad;"BILVERKSTED01, KONTROLLORGAN01";983764479
MYSEN BIL A/S;Ramstadveien 7;1850;Mysen;"BILVERKSTED01, KONTROLLORGAN01";947652036
KONGSVINGER BILSKADE AS;KONGEVEGEN 101;2211;KONGSVINGER;BILSKADE;917620261
DITT DEKK AS;SKIPARVIKVEGEN 24;5177;BJØRØYHAMN;HJUL;920495400
Nordvik AS avd. Brønnøysund;Russesletta 5;8907;BRØNNØYSUND;"BILVERKSTED01B, KONTROLLORGAN01B";946549770
"Skotvedt AS, Bilskade & Lakksenter";Baker Østbysvei 15;1351;RUD;BILSKADE;919534281
STEENES TILHENGER & INDUSTRISERVICE;BIRKEDALSVEIEN 68C;4640;SØGNE;HENGERESPALOPSBREMSEANLEGG;920316336
Nettby Bilsenter AS;STRANDVEIEN 29;3050;MJØNDALEN;"BILVERKSTED01, KONTROLLORGAN01";918003398
NØSEN & CO AS; Orkdalsvegen 604;7320;Fannrem;"BILVERKSTED01B, BILELEKTRODRIVSTOFFANLEGG, KONTROLLORGAN01B";993757446
DRØBAK BILPLEIE- OG DEKKSENTER DA;HOLTERVEIEN 7;1448;DRØBAK;"HJUL, EKSOSANLEGG";913206517
chassiservice AS Lastebilpåbygg;Furuhallveien 8E;3512;HØNEFOSS;PABYGGER;987268026
Horten Auto Servise;Storgt. 74;3182;Horten;BILVERKSTED01;950196491
Bertel O.Steen Vare-Last-Buss AS;Solheimsveien 7;1473;SKÅRER;"FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04";984993226
HØYDALSMO SERVICENTER AS;HØYDALSMOVEGEN 752;3891;HØYDALSMO;HJUL;999214029
MC Partner Service & Utleie AS;Industriveien 7;2020;SKEDSMOKORSET;MOTORSYKKELOGMOPED;971184280
3B AUTO BJØRNE CHR BJØRNESEN;FURLAND;6390;VESTNES;HJUL;886309902
Prøven- Kverneland AS;Bjørndalen 1-3;7028;TRONDHEIM;BILSKADE;995238306
Dekkmann Borgeskogen;Borgeskogen 51;3160;STOKKE;HJUL;966242825
Furnes Auto AS;Gjerluveien 65;2320;FURNES;BILVERKSTED01;896487752
Robstad Karosseri og Billakkering;Møllebekken;4760;Birkeland;BILSKADE;938198306
MELHUS BIL NORD-TRØNDELAG AS AVD STEINKJER;MOLOVEIEN 10;7714;STEINKJER;"KONTROLLORGAN01, BILVERKSTED01";919264438
Riis Bilglass Ski;Teglveien 17;1400;SKI;BILGLASS;916192533
LEVANGER FARGE OG GLASS DOLMEN;KIRKEGATA 47;7600;LEVANGER;BILGLASS;954263142
MAN Truck & Bus Norge AS avd. Bergen;Nordre Brurås 35;5131;BERGEN;"FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04";824387842
DEKK1 AS avd Vare & Last Oslo;Strømsveien 320;1081;OSLO;"HJUL, HENGERESPALOPSBREMSEANLEGG";979579292
Bertel O. Steen Bergen AS avd. Arna;Ekrevegen 27 ;5261;INDRE ARNA;"FARTSSKRIVER, BILVERKSTEDALLE, BILVERKSTED01B, BILSKADE, PABYGGER, KONTROLLORGAN01B, KONTROLLORGAN04";910116851
Frodster Performance AS;Bleikmyrvegen 20;4276;VEAVÅGEN;"BILVERKSTED01, KONTROLLORGAN01";991064885
FJELLHAMAR AUTO AS;KLOPPAVEIEN 16;1472;FJELLHAMAR;"BILVERKSTED01B, KONTROLLORGAN01B";915865178
IFOR WILLIAMS NORGE AS;RUDSVEGEN 9;2360;RUDSHØGDA;"HJUL, HENGERESPALOPSBREMSEANLEGG, LYSUTSTYR";993317756
DOKKEN BIL A/S;Maskinvegen 2;2640;VINSTRA;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";981096649
"Toyota Romerike A/S, avd Lillestrøm";Kjeller Vest 4;2007;KJELLER;"BILSKADE, KONTROLLORGAN01, BILVERKSTED01";922754136
Helgeland Maskin AS;Brugata 10;8656;MOSJØEN;TRAKTOR;954419819
Lakselv Motor AS;Karasjokveien ;9711;Lakselv;"BILVERKSTED01B, KONTROLLORGAN01";976009738
Brumunddal Bil & Karosseri AS ;Ringsakervegen 19;2380;Brumunddal;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";987656093
VIANOR AS avd. Fredrikstad;Rolvsøyveien 402;1666;ROLVSØY;HJUL;935429447
Hartveit Bilsenter AS;Møllendalsveien 17;5009;BERGEN;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";991587845
NESSØ GLASS OG HÅNDTVERK-SERVICE AS;Kirkegata 75D;7600;LEVANGER;BILGLASS;984364687
HIAB NORWAY AS;CARL BERGERSENS VEI 5;1481;HAGAN;PABYGGER;912799239
Hamar  MC - Service  &  Byggmontasje Per Evensen;Høyvangvn. 11;2322;Ridabu;MOTORSYKKELOGMOPED;986338020
ISDALSTØ AUTO KNARVIK A/S;Kvassnesvegen 31;5914;ISDALSTØ;"BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B";944407286
Birger Aase Bilrekvisita AS;Årabrotsvegen 19B;5515;Haugesund;"BILVERKSTED01, KONTROLLORGAN01";946031399
Otter's Biloppretting;Semsveien 41 B;3676;NOTODDEN;"BILSKADE, BILVERKSTED01B, KONTROLLORGAN01B";854018612
EXIM AS;EIAVEIEN 3;8208;FAUSKE;HJUL;937395701
DEKKLÅVEN ELVERUM AS;SVARTBEKKVEGEN 8;2406;ELVERUM;HJUL;917155070
AKTIV BILSERVICE Pål Arvid Blytt;Leirvikflaten 23;5179;GODVIK;"BILVERKSTED01B, KONTROLLORGAN01B, MOTORSYKKELOGMOPED";979609205
MEKONOMEN SERVICES AS;Strandgata 25B;7900;RØRVIK;"KONTROLLORGAN01B, BILVERKSTED01B";999323332
PARK OG KOMBIMASKINER AS;PROFESSOR SMITHS ALLE 48;3048;DRAMMEN;"LYSUTSTYR, HENGERESPALOPSBREMSEANLEGG";986540024
AMUNDSENS BILVERKSTED A/S;"Byflatveien 165,";2385;BRUMUNDDAL;"BILVERKSTED01, KONTROLLORGAN01";971580275
Bilskade Forum DA;Alf Kristoffersensvei 7;1396;Billingstad;BILSKADE;986117636
NEGÅRD RACING ;NORVALD STRANDS VEG 59;2212;KONGSVINGER;MOTORSYKKELOGMOPED;976076370
Gressvik Service Senter AS;Storveien 5;1624;GRESSVIK;"BILVERKSTED01, KONTROLLORGAN01";966318562
Lyseng Billakkering;Norderhovsveien 23;3512;Hønefoss;BILSKADE;855135752
JON LYNGNES BENSINSTASJON A/S;MATERSVEGEN 82;5498;MATRE;"LYSUTSTYR, HJUL";946010685
Westrum AS;Øvermarka 2;2320;FURNES;PABYGGER;986523081
FURE MEKANISKE AS;FURE;6967;HELLEVIK I FJALER;"BILVERKSTED01, KONTROLLORGAN01";985094918
Big Twin AS;Hundskinnveien 98;1711;SARPSBORG;MOTORSYKKELOGMOPED;984715366
KRÅKERØY BILVERKSTED AS;G.A.STOUSLANDS VEI 1;1671;KRÅKERØY;"BILVERKSTED01, KONTROLLORGAN01";816333342
ST Service AS;?Stongsvingen 66;4270;ÅKREHAMN;BILSKADE;990700427
GV BENSIN AS;MYKLEBUSTVEGEN 67;6092;FOSNAVÅG;HJUL;999234569
Robergs Auto AS;Meierigaten 2;3915;TØNSBERG;"BILVERKSTED01, KONTROLLORGAN01";914251796
Felleskjøpet Agri SA avd. Lillehammer;Industrigata 56;2619;LILLEHAMMER;TRAKTOR;911608103
HADELAND BILVERKSTED OG LAKKERING V/TOMASZ PAWEL SEWERA;Fjordlinna 23;2760;BRANDBU;BILVERKSTED01;998784298
BILUTSTYR NOR AS;ST OLAVS GATE 147;9407;HARSTAD;HJUL;918326707
HARALD JOHAN SIVERTSEN;LYNGSETHVEIEN 3;8610;MO I RANA;HJUL;996870898
BENNYS MOTOR BENNY RENNE SOLBAKK;JOENGET 45;7170;ÅFJORD;"HJUL, HENGERESPALOPSBREMSEANLEGG, EKSOSANLEGG";984211848
RIIS MONTASJE AS AVD STEINKJER;Sjøfartsgata 5A;7714;STEINKJER;BILGLASS;871679142
VEVANG AS;STRANDVEGEN 232;9790;KJØLLEFJORD;BILGLASS;898177882
MR BILVERKSTED AS;MAGNUS BARFOTS VEI 5;4633;KRISTIANSAND S;"BILVERKSTED01, KONTROLLORGAN01";918375821
BULK BILSKADESERVICE ROMERIKE AS;ASMYRSVINGEN 1;2022;GJERDRUM;BILSKADE;920440908
Bertel O. Steen Bergen AS avd. Åsane;Liamyrene 3;5132;BERGEN;"BILVERKSTED01, KONTROLLORGAN01";910116851
BERTEL O. STEEN ØSTFOLD AS avd. Moss Personbil;Ryggeveien 83;1522;Moss;"BILVERKSTED01, KONTROLLORGAN01";915281168
Måløy Vidaregåande Skule;Flatraket;6717;FLATRAKET;BILVERKSTED01;974571188
CASH & DRIVE A/S;BJ. BJØRNSONSGT. 84;3044;DRAMMEN;"BILVERKSTED01, KONTROLLORGAN01";960699394
JÆREN STORBIL SENTER AS;Varabergmyra 1;4051;SOLA;"BILVERKSTED03, KONTROLLORGAN04, BILVERKSTED02, PABYGGER, FARTSSKRIVER";986348670
Rakkestad Autosenter AS;Industriveien 9;1890;RAKKESTAD;"BILSKADE, BILVERKSTED01B, KONTROLLORGAN01B";990468184
Autoin Bilskadesenter AS;Bjørnerudveien 11;1266;Oslo;BILSKADE;946171700
ETAC BIL AS avd Moss;Kallumveien 24;1522;MOSS;PABYGGER;999065465
KVAMS GLASS SANDEFJORD AS;Gneisveien 10- 3221 Sandefjord;3183;HORTEN;BILGLASS;990796777
RIBI AUTOSENTER AS;"Amfisentret , Øravn.4";6650;Surnadal;"BILVERKSTED01, KONTROLLORGAN01";986056505
SDV OSLO AS;Tvetenveien 185;0673;OSLO;"BILVERKSTED01, KONTROLLORGAN01";918162445
"Bulder  Verksted AS, verksted Berger";Bølerveien 92;2020;Skedsmokorset;"BILVERKSTEDALLE, KONTROLLORGAN04, FARTSSKRIVER";993026352
TELEMARK  BIL;Hagebyveien  38;3735;SKIEN;BILVERKSTED01;958218842
HAF Grenland AS;Rødmyrsvingen 78;3735;SKIEN;"MOTORSYKKELOGMOPED, BILVERKSTED01, KONTROLLORGAN01";894264322
ARNT BILSERVICE AS;NAUSTGATA 1;8665;MOSJØEN;"BILVERKSTED01B, KONTROLLORGAN01B, MOTORSYKKELOGMOPED";817553222
"CARGLASS AS, avd. Fredrikstad";Stabburveien 8;1617;FREDRIKSTAD;BILGLASS;985758220
RAVNANGER AUTOSENTER A.S;Ravnanger;5310;HAUGLANDSHELLA;"BILVERKSTED01, KONTROLLORGAN01";933495779
Snap Drive  AS avd. Ryen;Ryensvingen 2-4;0680;OSLO;"BILVERKSTED01, KONTROLLORGAN01";971585188
RIIS MONTASJE AS avd. Nesodden;Myklerudveien 103;1454;FAGERSTRAND;BILGLASS;921979436
OTTA DETAILING AS;OLA DAHLS GATE 6;2670;OTTA;HJUL;911739496
Tore's Bilformidling;Eidsvåg;6460;EIDSVÅG I ROMSDAL;BILSKADE;971168412
SOS Biloppretting AS;Myrvangvegen 6;2040;KLØFTA;BILSKADE;953814234
MORVIK MEKANISKE AS;MORVIKVEIEN 80;5122;MORVIK;"BILVERKSTED01B, KONTROLLORGAN01B";972415359
Vinger Lakk og Karosseri AS;Osloveien 102 ;2212;Kongsvinger;BILSKADE;990210772
Elektro Diesel Vestauto AS;Steinestøvegen 175;5131;NYBORG;"FARTSSKRIVER, BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04";970886648
EKSOSVERKSTEDET FREDRIKSTAD AS;ROLVSØYVEIEN 207;1617;FREDRIKSTAD;EKSOSANLEGG;996972844
TØNSBERG AUTOSERVICE AS - HOLMESTRAND;BENTSRUDVEIEN 19;3083;HOLMESTRAND;"KONTROLLORGAN01B, BILVERKSTED01B";920559263
ROVIK MC AS;FABRIKKVEIEN 5;4033;STAVANGER;MOTORSYKKELOGMOPED;928634000
Vestfold Autogass;Hortensveien 273;3157;BARKÅKER;"BILVERKSTED01, KONTROLLORGAN01";815133692
"Vianor AS, avd. Sandvika, Rud";Løxaveien 7;1351;RUD;"BILVERKSTED01, KONTROLLORGAN01";935429447
CENTRUM BILGLASS EINAR TORSVIK;NYGÅRDSGATEN 93;5008;BERGEN;BILGLASS;970354506
"Handicare AS, avd. Tønsberg";Kilengt. 1;3117;TØNSBERG;PABYGGER;965395830
HAVN AUTO AS;EIKEFJORD;6940;EIKEFJORD;"BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01";979431317
Vestfold Elektrodiesel AS;Sundlandveien 10;3160;STOKKE;"BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01";991466681
O. M. GREFSTAD AS;Løkkenveien 175;7332;LØKKEN VERK;"BILVERKSTED01, KONTROLLORGAN01";912072150
Mariendal Bil AS;Åshøgdvegen 468;2360;RUDSHØGDA;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";994551248
MotorForum AS avd. Eidsvoll;Vognvegen 14;2072;Dal;"BILVERKSTED01, KONTROLLORGAN01";936999247
Motorcenteret AS;Billingstadsletta 83;1396;Billingstad;MOTORSYKKELOGMOPED;965701079
DEKK1 avd. Åssiden;Ingvald Ludvigsen gate 27A;3027;DRAMMEN;"HENGERESPALOPSBREMSEANLEGG, HJUL";979579292
TORVIK AUTO AS;STRØMSVEIEN 223;0668;OSLO;"KONTROLLORGAN01B, BILVERKSTED01B";916636679
MINNESUND DEKK & SERVICE AS;TRONDHEIMSVEGEN 584;2092;MINNESUND;HJUL;916014597
SÆTRE BILSERVICE A/S;NORDRE SÆTREVEI 10;3475;SÆTRE;"BILVERKSTED01, KONTROLLORGAN01";950429437
AM MEK VERKSTED LAKK CUSTOMS AS;MEISINGSET;6628;MEISINGSET;"EKSOSANLEGG, HJUL";812124412
RAUFOSS BILGLASS HANS TØGER KASTET;ØVERBYVEGEN 23;2834;RAUFOSS;BILGLASS;894331992
Fylling Elektromaskin A/S;Stette Industriområde 12;6260;Skodje;BILELEKTRODRIVSTOFFANLEGG;991669574
Voss Bilsenter AS;Istadosen 4;5709;VOSS;"BILVERKSTED01, KONTROLLORGAN01";978643302
MC LEA AS;HOVEVEIEN 34;4306;SANDNES;HENGERESPALOPSBREMSEANLEGG;981275268
Flisa bil AS;Negardsvegen 8;2270;Flisa;"BILVERKSTED01B, KONTROLLORGAN01B";836634152
Etac Bil AS;Koppholen 19;4313;SANDNES;"BILVERKSTED01, PABYGGER";999065465
CARGLASS AS avd. Forus;Røynebergsletta 1;4033;STAVANGER;BILGLASS;985758220
Trucknor Haugesund A/S;Raglamyrvegen 32;5509;Haugesund;"FARTSSKRIVER, BILVERKSTED02, BILVERKSTED03, PABYGGER, KONTROLLORGAN04";975941337
STEGLET AUTO AS;Sandsværveien 221;3615;KONGSBERG;"BILVERKSTED01, KONTROLLORGAN01";994943561
SULLAND AUTO NORD AS AVD HARSTAD;Klubbholmen 1;9498;HARSTAD;"BILVERKSTED01, KONTROLLORGAN01";820865952
Madland Bilverksted AS;Finnestadgeilen 20;4029;Stavanger;"BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, BILBREMSE, KONTROLLORGAN01B, KONTROLLORGAN02, KONTROLLORGAN03, FARTSSKRIVER, TRAKTOR";935439868
Handicare ASA Auto;Hageveien 9;2613;Lillehammer;BILVERKSTED01;965395830
Karimi Auto AS;"Gøtå 15, Sulasenteret, Mausabakkane";6036;MAUSEIDVÅG;"BILVERKSTED01, KONTROLLORGAN01";997947061
OSKAR L. HANSEN AS;OSCARS GATE 14;1776;HALDEN;BILGLASS;922763119
LARSEN MEKANISKE AS;Industribakken 9;8907;BRØNNØYSUND;"BILVERKSTED01, HJUL, KONTROLLORGAN01";918598960
Bavaria Romerike AS avd. Gardermoen;Museumsvegen 16;2060;GARDERMOEN;"BILVERKSTED01, KONTROLLORGAN01";960804953
Bertel O. Steen Bergen AS avd. Minde   ;Kanalveien 51;5068;BERGEN;"BILVERKSTED01, KONTROLLORGAN01";910116851
AS BILDELER ÅLESUND;Postvegen 13;6018;ÅLESUND;HJUL;836657632
AURE BIL OG FRITID AS;BREKKVEGEN 6;6690;AURE;"BILVERKSTED01B, TRAKTOR, KONTROLLORGAN01, BILVERKSTED01, HJUL, KONTROLLORGAN01B";915492851
IMPORTEX AS;TORVVEIEN 2;1940;BJØRKELANGEN;BILVERKSTED01;963944969
Sannidal Auto AS;Sannidalsveien 180;3766;SANNIDAL;"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN01, KONTROLLORGAN04";979367201
ØSTFOLD DEKK & ANTIRUST AS;STASJONSVEIEN 63;1746;SKJEBERG;HJUL;919469110
DEKKTEAM AS Haugesund;Fjellvegen 2;5532;HAUGESUND;HJUL;870897332
